,user_id,nb_lang,nb_genres,nb_decades,rank_max_dist
123,685252703,1,23,2,423840
124,1713279322,0,1,1,0
125,2928868504,2,8,3,392127
126,570796917,4,12,3,583304
127,756147085,1,11,3,789461
128,913409163,1,27,2,627862
129,933200091,2,1,1,0
130,1378352248,1,9,2,122258
131,3006652464,0,0,0,0
132,3567638124,1,10,2,353640
133,981300102,3,16,1,594887
134,1619551226,1,7,2,502115
135,154438241,2,17,1,472690
136,224852735,1,28,2,653279
137,489067451,2,16,1,226259
138,514632222,0,0,0,0
139,704584271,2,6,1,263290
140,874125361,2,1,2,0
141,3922454482,2,19,2,148577
142,976028542,3,29,2,534915
143,1149082982,1,11,3,458687
144,342584215,0,0,0,0
145,1407059522,1,4,2,0
146,245697705,3,13,2,503857
147,503995893,3,58,8,982761
148,508692075,1,7,2,185683
149,812851495,4,66,6,721566
150,996463106,2,7,1,456202
151,1084598328,5,74,8,611142
152,1105720162,3,35,6,663033
153,1361197544,5,57,3,888911
154,1868327282,2,15,2,599153
155,1953723002,1,20,2,460891
156,2685799802,2,49,5,951428
157,4045672042,2,45,5,682077
158,18748199,1,4,2,0
159,153952351,3,21,2,764455
160,249776795,3,12,2,908681
161,301164343,1,7,2,0
162,360460683,2,4,2,0
163,476103811,2,6,2,0
164,503641135,2,11,1,945645
165,1092289204,3,25,2,435542
166,1999914666,2,10,1,324241
167,2118646282,2,13,5,282632
168,3307296564,2,20,4,623652
169,3538561124,2,23,6,333284
170,10332041,3,51,7,691852
171,534383193,2,33,3,717939
172,1403540702,1,18,2,279713
173,1448729282,1,4,1,106935
174,1957130686,2,27,3,497138
175,2012968166,3,22,2,693255
176,3216857824,1,2,2,0
177,14387578,3,31,2,604180
178,1001456942,2,23,2,541661
179,1823331866,3,26,4,810861
180,1828393342,3,52,5,607275
181,2179845404,1,3,1,3566
182,367755085,2,15,1,796105
183,1930619306,3,29,4,611978
184,3180276144,1,14,3,179705
185,771307505,1,5,1,173525
186,965199162,1,2,1,0
187,1605108926,2,31,4,499412
188,475103043,1,6,1,0
189,1078689364,2,24,5,923948
190,148293861,1,9,2,549180
191,1576629902,4,28,2,529502
192,978184126,0,0,0,0
193,298100845,8,43,3,958486
194,854289711,6,98,8,962164
195,1311674304,6,52,6,746805
196,1345260904,1,26,5,373399
197,1614588122,3,16,1,434937
198,2157078526,1,23,3,586071
199,2408369408,6,59,8,970183
200,3131944524,5,31,6,485036
201,3909722082,1,23,4,679979
202,97662761,2,20,3,341791
203,1091900388,2,11,1,184895
204,1949271962,3,27,3,679597
205,2138590584,4,39,5,520190
206,2606214722,3,13,1,726379
207,2739707462,2,21,3,354642
208,3258866124,1,14,4,299303
209,3424517724,1,37,7,516613
210,3682146602,1,4,2,177105
211,1716315482,2,3,1,228617
212,2157269644,1,8,3,456868
213,2239459004,1,10,2,762895
214,3347324804,1,44,6,620279
215,4308518162,1,8,2,279052
216,1581185382,2,22,4,529945
217,1630863582,3,23,4,382127
218,1873859086,2,31,4,967189
219,2371120564,2,21,1,597202
220,2815939404,1,4,1,334775
221,4013376262,2,7,2,490108
